PLOTID,SPHA,BLIT,ASMA,MOSS,LEGR,CHCA,GRAS,SEDG,SMTR,PTAQ,COCA,VAAN,GAHI,ARNU,LYOB,PIMA,RUBU,VAOX,ROCK,ACSP,COCO,ACRU,TRBO,MACA,CLBO,STRO,FUNG,DILO,ERIO,GATR,Plot_Detail,Plot_Group
_2,68,14,0,3,33,5,5,0,14,0,0,4,28,0,0,1,0,6,0,0,0,0,0,0,0,0,1,0,0,0,dense mature black spruce,spruce
_3,0,6,18,2,0,0,5,0,0,2,0,0,0,7,0,0,6,0,0,2,1,2,2,2,1,1,1,3,0,4,medium density mature aspen,aspen
_12,60,1,0,0,5,9,12,1,14,0,0,0,2,0,0,3,0,4,0,0,0,0,0,0,0,0,4,0,3,0,sparse low black spruce,spruce
_14,16,14,0,72,14,1,2,0,13,0,0,5,7,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,dense mature black spruce,spruce
_15,68,7,0,30,27,8,4,0,12,0,0,5,13,0,0,3,0,3,0,0,0,0,0,0,0,0,4,0,0,0,dense mature black spruce,spruce
_16,0,14,14,3,0,0,2,0,0,1,0,0,0,2,1,0,1,0,0,17,6,10,1,0,3,4,1,1,0,2,medium density mature aspen,aspen
_18,62,7,0,3,6,12,4,0,0,0,0,0,0,0,0,13,0,5,0,0,0,0,0,0,0,0,1,0,11,0,sparse low black spruce,spruce
_19,62,5,0,0,6,28,1,0,0,0,0,0,0,0,0,15,0,5,0,0,0,0,0,0,0,0,0,0,10,0,sparse low black spruce,spruce
_20,0,5,8,14,0,0,4,6,0,14,10,3,0,0,6,0,0,0,17,1,8,1,1,0,3,0,0,0,0,0,medium density aspen mixed,aspen
_21,0,16,26,5,0,0,1,0,0,18,6,10,0,10,11,0,3,0,2,1,5,5,4,4,2,0,0,1,0,0,medium to high density aspen,aspen
_36,0,25,38,3,0,0,5,3,0,6,7,0,0,0,0,0,1,0,10,0,3,6,4,4,6,3,0,1,0,3,medium density aspen mixed,aspen
_38,82,10,0,10,24,12,8,0,6,0,0,4,2,0,0,2,0,1,0,0,0,0,0,0,2,0,1,0,0,0,low to medium density black spruce,spruce
_39,60,3,0,34,24,0,5,0,9,0,1,5,4,0,1,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,low to medium density black spruce,spruce
_41,72,17,0,4,6,0,3,0,5,0,0,5,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,high density black spruce,spruce
_42,34,14,0,36,15,1,0,5,6,0,4,9,8,0,1,4,0,2,0,0,0,0,1,0,0,0,0,0,0,0,medium density black spruce,spruce
_43,32,13,0,34,28,3,0,0,6,0,0,5,5,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,medium density black spruce,spruce
_45,55,25,0,8,7,4,0,10,4,0,0,5,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,medium density black spruce,spruce
_47,64,8,0,5,9,8,1,32,20,0,0,5,4,0,0,2,0,5,0,0,0,0,0,0,0,0,3,0,0,0,medium density black spruce,spruce
_48,64,12,0,13,6,0,10,2,10,0,0,0,1,0,7,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,medium density black spruce,spruce
_49,48,5,0,6,1,0,5,14,5,0,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,medium density black spruce,spruce
_50,38,18,0,38,11,0,2,6,4,0,2,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,low density black spruce,spruce
_51,74,3,0,2,34,17,1,0,2,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,8,0,low density black spruce,spruce
_52,86,3,0,5,36,9,17,1,0,0,0,0,4,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,low density black spruce,spruce
_54,62,16,0,0,22,10,5,0,7,1,0,4,3,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,low density black spruce,spruce
_55,38,30,0,18,4,2,0,2,6,0,0,5,6,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,medium density black spruce,spruce
_56,68,13,0,6,34,5,0,5,2,0,0,2,3,0,0,6,0,4,0,0,0,0,0,0,0,0,4,0,0,0,medium density black spruce,spruce
_57,72,5,0,4,17,20,0,14,0,0,0,0,4,0,0,3,0,4,0,0,0,0,0,0,0,0,3,0,0,0,high density black spruce,spruce
_62,66,1,0,12,7,20,17,6,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,low density black spruce,spruce
_63,56,8,0,1,12,12,6,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,24,0,low density black spruce,spruce
_64,56,0,0,6,6,24,0,34,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,small growth low density black spruce,spruce
_68,62,8,0,9,4,5,1,10,1,0,0,0,5,0,0,1,0,5,0,0,0,0,0,0,0,0,2,0,0,0,high density black spruce,spruce
_69,1,15,11,5,0,0,2,0,0,2,17,7,1,1,3,0,0,0,5,0,2,1,1,3,4,1,0,0,0,0,high density young aspen,aspen
_71,1,20,16,5,0,0,2,2,0,4,5,3,0,4,2,0,3,0,5,0,1,2,0,2,5,4,0,2,0,1,high density young aspen,aspen
_72,0,32,14,4,0,0,1,0,0,0,4,0,0,5,5,0,4,0,0,3,2,2,5,4,3,5,0,3,0,2,high density large aspen,aspen
_73,0,34,21,5,0,0,4,0,0,1,3,1,0,6,4,0,2,0,0,4,2,4,4,4,2,4,0,1,0,4,high density large aspen,aspen
_74,0,24,4,2,0,0,5,0,0,3,4,1,0,7,3,0,4,0,0,4,5,2,4,3,2,4,0,2,0,1,high density large aspen,aspen
_75,0,20,14,6,0,0,6,1,0,0,4,1,0,4,0,0,5,0,1,7,2,5,5,5,2,4,0,2,0,2,medium density large aspen,aspen
_77,0,46,2,7,0,0,2,1,0,0,4,0,0,4,2,0,3,0,2,4,0,2,4,3,5,3,0,0,0,2,high density large aspen,aspen
_79,0,14,14,7,0,0,3,1,0,7,8,2,0,14,2,0,7,0,0,9,1,3,5,3,3,5,0,8,0,4,medium densitylarge aspensome birch,aspen
_80,0,6,18,2,0,0,5,0,0,2,0,0,0,7,0,0,6,0,0,2,1,2,2,2,1,1,1,3,0,4,medium density aspen birch,aspen
_81,0,32,31,5,0,0,4,0,0,0,0,0,0,6,0,0,0,0,4,8,0,3,0,4,0,2,0,2,0,3,high density large aspen,aspen
_82,0,18,48,6,0,0,5,0,0,1,2,0,0,8,0,0,4,0,1,12,0,1,2,3,1,3,0,3,0,4,high density large aspen,aspen
_83,0,24,22,6,0,0,5,1,0,2,0,0,0,6,0,0,5,0,2,3,2,4,1,3,0,4,0,3,0,4,high density large aspen,aspen
_84,0,22,23,4,0,0,1,1,0,20,1,3,0,8,3,0,0,0,3,1,1,5,3,2,0,1,1,0,0,0,very dense small aspen,aspen
_85,0,24,30,11,0,0,4,0,0,7,2,5,0,0,4,0,0,0,7,2,0,4,4,0,1,0,1,1,0,0,medium density medium size aspen,aspen
_86,2,22,10,4,0,0,5,0,0,4,6,5,0,0,4,0,4,0,18,0,2,0,0,0,0,0,1,1,0,0,low density aspen,aspen
_87,0,30,7,5,0,0,3,0,0,0,0,0,0,0,3,0,1,0,1,0,3,0,2,0,2,0,3,1,0,0,low density aspen,aspen
_88,0,42,12,4,0,0,2,1,0,0,4,2,0,4,6,0,2,0,3,1,3,2,3,2,4,1,3,1,0,0,low density young aspen,aspen
_89,0,24,3,17,0,0,1,0,0,0,8,3,0,0,6,0,1,0,8,1,1,1,0,0,4,0,1,2,0,0,low density aspenwith mapleoakbirch,aspen
_90,0,24,13,6,0,0,5,1,0,0,4,2,0,0,6,0,1,0,1,0,3,5,2,0,2,0,2,0,0,0,medium density aspen,aspen
_92,0,32,10,3,0,0,5,0,0,1,4,0,0,5,8,0,1,0,0,2,7,1,4,4,6,5,0,1,0,0,high density aspen,aspen
_93,0,26,12,1,0,0,4,0,0,3,3,2,0,3,6,0,3,0,0,4,6,2,4,4,4,5,1,1,0,4,high density aspen,aspen
_94,0,10,36,0,1,0,4,0,0,4,4,0,0,6,5,0,3,0,0,0,5,1,0,0,1,1,0,1,0,1,low density young aspen,aspen
_95,0,16,26,2,1,0,7,0,0,3,3,6,0,2,0,0,8,0,0,0,9,0,1,1,0,0,0,1,0,2,low density aspen,aspen
_96,0,31,17,3,0,0,4,1,0,6,8,2,0,2,3,0,4,0,0,1,1,6,5,6,1,1,0,2,0,2,medium density aspen,aspen
_97,0,11,36,2,0,0,3,2,0,18,4,1,0,2,3,0,3,0,0,0,1,3,2,5,2,2,0,8,0,1,medium density aspen open understory,aspen
_98,0,14,38,3,0,0,3,0,0,7,0,2,0,0,6,0,2,0,0,0,3,0,2,3,0,1,0,1,0,1,medium density aspen,aspen
_99,0,42,20,4,0,0,5,1,0,9,4,5,0,0,1,0,5,0,0,0,3,0,0,0,0,1,0,1,0,0,low densityyoung aspendense understory,aspen
_100,60,17,0,10,0,0,0,20,2,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,high density black spruce,spruce
_101,36,35,0,10,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,high density black spruce,spruce
_102,50,8,0,10,8,4,6,6,2,0,0,0,4,0,0,3,0,4,0,0,0,0,0,0,0,0,3,0,0,0,high density black spruce,spruce
_103,60,2,0,9,10,15,0,26,1,0,0,0,1,0,0,8,0,5,0,0,0,0,0,0,0,0,3,0,0,0,low density black spruce,spruce
_105,70,9,0,16,6,0,2,11,3,0,0,0,3,0,0,3,0,5,0,0,0,0,0,0,0,0,5,0,0,0,high density black spruce,spruce
