Country,Code,Deforest,Rural,CO2,GNI,EnergyUse,LifeExp,Fertility,InfMort,Pop,PrimFem,PrimMal,Exports,Imports,CellPhone,RuralWater,log.Exports,log.Imports,log.GNI,log.Energy,new.forest,log.CO2
Afghanistan,AFG,0,74.129,0.290025232,690,,60.50912195,5.141,70.2,30551674,,,6.107274005,44.19394807,70.00491037,56.1,1.809480521,3.788587858,6.536691598,,0,-0.941543846
Albania,ALB,1.89860583,44.617,1.499316163,4520,768.0615635,77.35046341,1.76,13.3,2773620,,,34.01368477,56.74917713,116.1572081,93.8,3.526762937,4.038641156,8.416267273,6.643869891,1.377899064,0.469576139
Algeria,DZA,11.55368926,30.49,3.331511849,4970,1108.281628,70.88217073,2.82,21.6,39208194,92.51423,92.73663,38.73581864,28.73931352,102.0107812,79.5,3.656764718,3.358265995,8.511175119,7.010566012,3.399071824,1.233000936
American Samoa,ASM,4.078303426,12.666,,,,,,,55165,,,,,,100,,,,,2.019480979,
Andorra,AND,0,13.835,6.636720705,,,,,2.2,79218,,,,,80.70261809,100,,,,,0,1.907573264
Angola,AGO,4.502755182,57.51,1.555965628,4510,672.739215,51.464,5.979,101.6,21471618,40.14784,53.35519,64.97697486,43.306969,61.87329711,34.3,4.174032974,3.768313569,8.414052432,6.511357758,2.121969647,0.5043843
Antigua and Barbuda,ATG,4.854368932,75.357,5.88515814,12720,,75.66531707,2.102,7.7,89985,101.91327,102.72277,47.64046941,57.14639507,127.0856254,97.9,3.863682598,4.04561631,9.450930837,,2.203263246,1.789282761
Argentina,ARG,16.87868249,8.548,4.47096499,,1966.973639,76.01268293,2.188,11.9,41446246,108.25831,106.3835,17.78503379,16.1363294,159.0254543,95.3,2.878357305,2.781073214,,7.584251417,4.108367376,1.51972434
Armenia,ARM,26.91642651,37.025,1.424235767,3770,916.257439,74.43721951,1.739,14,2976566,,,23.75685346,47.35401166,112.4206552,100,3.167871056,3.85765154,8.23483028,6.820297372,5.188104327,0.421493148
Aruba,ABW,-5,57.942,22.84723958,,,75.2067561,1.681,,102911,97.84076,91.66667,70.77206081,86.43635475,134.873823,98.1,4.259464301,4.45940836,,,-2.236067977,3.13319765
Australia,AUS,4.561812298,10.847,16.93373124,59790,5500.790197,82.09512195,1.927,3.4,23130900,,,21.13649887,20.1431607,106.8434974,100,3.05100135,3.002864811,10.9985937,8.612647033,2.135839951,2.835195569
Austria,AUT,-3.204449153,34.116,7.973648029,47960,3927.917259,80.93658537,1.44,3.2,8473786,98.25421,98.95797,57.30099835,54.30944806,156.2304116,100,4.048318047,3.994698209,10.77812261,8.275864605,-1.790097526,2.088605428
Azerbaijan,AZE,0,45.9,5.050748857,6290,1369.322873,70.62495122,2,29.9,9416598,88.97885,89.98708,56.42698053,24.08106448,107.6134072,70.7,4.032947422,3.181425825,8.74671635,7.222071643,0,1.639142113
"Bahamas, The",BHS,0,17.268,6.835610738,20600,,74.91446341,1.893,10.4,377374,94.85347,91.52189,43.58772164,57.44429021,76.05187427,98.4,3.774775497,4.050815612,9.933046355,,0,1.936669116
Bahrain,BHR,-180,11.333,19.33835286,19560,7353.164228,76.53619512,2.094,5.2,1332171,,,79.00228505,47.80428039,165.9088811,100,4.369476777,3.867115183,9.881241944,8.902886007,-13.41640786,2.967248066
Bangladesh,BGD,3.828647925,67.247,0.371563901,830,204.7203214,70.29485366,2.208,33.2,156594962,70.49899,62.58969,22.90085831,31.61043961,67.08453366,84.4,3.131174391,3.453487433,6.721425701,5.321644762,1.95669311,-0.751700659
Barbados,BRB,0,68.348,5.361952382,15080,,75.13202439,1.845,13.3,284644,105.74913,94.38909,39.34399963,53.69887157,108.1027529,99.8,3.672343476,3.983391988,9.621124642,,0,1.697806305
Belarus,BLR,-11.92287918,24.123,6.556549631,6400,3114.214399,72.06341463,1.62,3.7,9466000,,,81.1258803,83.0694611,118.786176,99,4.396002026,4.419677139,8.764053269,8.0437322,-3.452952241,1.895601277
Belgium,BEL,-0.425406204,2.224,9.976543625,44810,5348.974596,80.38536585,1.79,3.5,11195138,92.26546,89.01336,84.98421158,84.15471026,110.9031799,100,4.442465493,4.432656894,10.71018661,8.584660157,-0.65223171,2.310210309
Belize,BLZ,13.37957125,55.702,1.366532186,4620,,73.69914634,2.715,14.3,331900,106.45344,110.09961,61.24580255,63.01880457,52.93763182,100,4.114895317,4.143433167,8.438149984,,3.657809624,0.382900557
Benin,BEN,22.56552682,56.914,0.545627257,750,384.5610261,59.1194878,4.927,56.2,10323474,55.96918,73.6678,14.98191428,26.96127149,93.25782193,69.1,2.706843759,3.294401447,6.620073207,5.952102492,4.750318602,-0.437532943
Bermuda,BMU,0,0,7.320035624,104610,,79.28853659,1.76,,65024,100,99.7555,,,144.3197992,,,,11.55799443,,0,2.004183858
Bhutan,BTN,-7.76276771,62.861,0.664924073,2420,,67.88926829,2.275,29.7,753947,96.35309,84.51917,40.09921914,69.80286878,72.19831102,97.3,3.691356861,4.245675109,7.791522819,,-2.786174386,-0.267978701
Bolivia,BOL,9.896010829,32.304,1.521808822,2220,746.1567184,66.92663415,3.264,31.2,10671200,93.15221,92.6522,44.11838354,38.41192401,97.69945273,71.9,3.786876556,3.648367932,7.705262475,6.614935656,3.14579256,0.483542083
Bosnia and Herzegovina,BIH,1.131221719,60.514,8.093102083,4600,1848.07031,76.12114634,1.268,5.7,3829307,,,31.30841121,55.26090343,91.173651,99.5,3.44388679,4.012065668,8.433811582,7.521897298,1.063589075,2.103292591
Botswana,BWA,18.98090101,43.062,2.657137083,7650,1114.99516,46.99070732,2.665,36.3,2021144,,,44.35170475,50.13043162,160.6410528,92.8,3.792151147,3.914628241,8.942460927,7.016605343,4.356707588,1.014192853
Brazil,BRA,10.38652562,14.829,2.150268044,11640,1371.149594,73.61787805,1.811,12.3,200361925,,,11.88916767,12.62254662,135.3050481,85.3,2.475627706,2.535484629,9.362202721,7.223404787,3.222813308,0.81104934
Brunei Darussalam,BRN,8.861985472,23.439,22.86788543,,9427.087023,78.37346341,2.012,8.4,417784,107.75264,110.04184,79.66268474,28.55029616,112.2144457,,4.37780128,3.351667309,,9.151342423,2.976908711,3.134096955
Bulgaria,BGR,-21.35256988,26.7,6.041258862,6850,2615.035284,74.31463415,1.5,10.1,7265115,105.63206,104.55338,66.49695853,66.51859636,145.1876887,99,4.19715621,4.197481553,8.832003931,7.869032869,-4.620884102,1.815029748
Burkina Faso,BFA,19.24930627,71.814,0.108309024,670,,55.86202439,5.693,64.1,16934839,44.06894,49.83201,21.14408098,28.57610737,66.37728295,75.8,3.051360007,3.352570962,6.507277712,,4.387403135,-1.568732607
Burundi,BDI,41.73010381,88.528,0.03336253,240,,53.6287561,6.123,54.8,10162532,49.01374,52.70665,9.353710467,37.66549408,24.96258806,73.2,2.235773106,3.628744399,5.480638923,,6.459884194,-2.014684069
Cabo Verde,CPV,-48.25259516,35.873,0.729487839,3610,,74.54373171,2.331,21.9,498897,99.34114,100.93846,31.47249165,60.28316209,100.1124481,86,3.449113883,4.099052829,8.191463051,,-6.946408796,-0.18694683
Cambodia,KHM,23.98640297,79.681,0.291012884,880,365.1423654,71.40882927,2.894,32.5,15135169,91.68153,90.89516,54.08075591,59.50108761,133.8902393,65.6,3.990478409,4.085994592,6.779921907,5.90028732,4.897591548,-0.939014768
Cameroon,CMR,19.90458957,46.75,0.350798617,1190,317.6233507,54.5875122,4.859,60.8,22253959,64.20379,75.23782,29.48655599,32.23650813,70.3904685,51.9,3.38393443,3.473099603,7.081708586,5.760866249,4.461455992,-0.796734565
Canada,CAN,0,18.528,14.67823409,50650,7333.279047,81.23804878,1.61,4.6,35158304,,,30.71895573,31.96144797,78.39781723,99,3.424879915,3.464530426,10.83269451,8.900178041,0,2.693155429
Caribbean small states,CSS,0.801387626,58.02514303,9.893750411,8878.67287,,71.7986121,2.186514853,17.27276998,7002680,92.77329254,90.03403473,55.41614822,57.99855117,106.1560887,93.15333482,4.014871035,4.06041803,9.091407373,,0.895202562,2.301959939
Cayman Islands,CYM,-2.419354839,0,10.63587887,,,,,,58435,,,,,167.7693163,,,,,,-1.555427542,2.373591297
Central African Republic,CAF,2.835840193,60.5,0.060696275,490,,49.47539024,4.451,96.1,4616417,30.18457,52.45862,11.51483211,22.02756873,29.46657548,54.4,2.443635953,3.092294793,6.194405391,,1.683995307,-1.828239188
Chad,TCD,13.29824561,77.773,0.040046478,970,,50.70058537,6.375,88.5,12825314,23.49278,39.04127,40.38573505,40.80238836,35.56437683,44.8,3.69847663,3.708740618,6.877296071,,3.646675968,-1.965780925
Channel Islands,CHI,0,68.729,,,,80.11982927,1.451,,162018,,,,,,,,,,,0,
Chile,CHL,-6.834829326,10.825,4.213121459,14290,1939.720133,79.57265854,1.832,7.1,17619708,98.26328,98.65668,38.02449504,34.86483016,134.2782809,91.3,3.638230558,3.551478589,9.567315271,7.57029898,-2.614350651,1.461661878
China,CHN,-35.15748317,46.832,6.194857575,5720,2029.362967,75.1995122,1.663,10.9,1357380000,,,28.53028081,26.0469373,88.70833462,84.9,3.350966008,3.259900191,8.651724084,7.615477213,-5.929374602,1.839733042
Colombia,COL,3.554119548,24.117,1.629451505,7010,671.4911462,73.77707317,2.316,14.5,48321405,114.72724,112.1135,18.7361065,19.9327627,104.0845439,73.6,2.930452491,2.992364745,8.85509298,6.509500831,1.885237266,0.547804309
Comoros,COM,81.66666667,71.896,0.203996305,840,,60.644,4.782,57.9,734917,,,15.3150902,51.78894187,47.28425115,96.7,2.72883863,3.947176649,6.733401892,,9.036961141,-1.190739732
"Congo, Dem. Rep.",COD,4.272057769,58.539,0.048880628,370,383.1717761,49.62326829,6.039,86.1,67513677,54.96792,72.98527,,,43.70465113,29,,,5.913503006,5.94848339,2.066895684,-1.904610449
"Congo, Rep.",COG,1.4929839,35.469,0.493188609,2550,392.6397733,58.29656098,5.012,35.6,4447632,67.22635,71.48986,87.28304928,34.80937809,104.7695043,38.8,4.469156278,3.549886836,7.843848638,5.972892584,1.221877203,-0.522242872
Costa Rica,CRI,-3.377535101,25.044,1.664003675,8850,982.5653062,79.70502439,1.81,8.4,4872166,96.96785,94.89102,37.18309395,42.06238867,145.9716479,90.9,3.615854194,3.739153961,9.088172738,6.890166811,-1.837807145,0.567586041
Cote d'Ivoire,CIV,-1.76286441,47.234,0.305895928,1220,579.3019932,50.40173171,4.894,71.3,20316086,,,57.68126741,37.89631342,95.44605196,67.8,4.054932466,3.634853836,7.106606138,6.361823919,-1.327729042,-0.901658487
Croatia,HRV,-4.151351351,41.641,4.727161668,13260,1971.478444,76.92439024,1.51,3.8,4252700,91.38628,91.48971,42.33517238,42.81403437,114.5095687,96.8,3.745618239,3.756865955,9.492507264,7.586539019,-2.037486528,1.574258649
Cuba,CUB,-42.81827017,23.128,3.400544489,,992.0683239,79.06702439,1.453,5,11265629,98.75245,97.52846,19.95792183,19.13806032,17.71492741,87.3,2.993626149,2.951679039,,6.89979198,-6.543567083,1.252918525
Curacao,CUW,,10.463,,,,,2.2,,153500,,,,,128.1821618,,,,,,,
Cyprus,CYP,-7.579143389,32.867,6.983907546,26410,2120.944405,79.63712195,1.465,2.8,1141166,100.85892,97.87958,,,95.17782689,100,,,10.18149801,7.659616742,-2.753024408,1.957825669
Czech Republic,CZE,-1.217192849,26.94,10.66903291,18130,4137.65843,78.07560976,1.45,2.9,10521468,108.91905,108.9401,72.89047108,68.74280255,131.2534239,99.6,4.288957918,4.230372041,9.805323304,8.32788531,-1.103264632,2.376674692
Denmark,DNK,-23.14606742,12.676,8.346404977,59860,3230.788149,80.05121951,1.73,2.9,5613706,99.38253,98.87919,53.66645217,48.4244935,127.4727287,100,3.982788079,3.88000575,10.99976378,8.080481395,-4.811036002,2.133740904
Djibouti,DJI,0,22.814,0.646313828,,,61.30397561,3.457,57.4,872932,,,,,27.96586676,65.5,,,,,0,-0.292609086
Dominica,DMA,11.8,31.03,1.906487557,6590,,,,10.2,72003,81.2398,83.92283,33.84963988,53.03392617,129.9598628,,3.52192836,3.970931825,8.793308627,,3.435112807,0.69638571
Dominican Republic,DOM,0,22.918,2.092908442,5430,727.4524474,73.23297561,2.517,23.6,10403761,90.24506,91.41192,25.04614491,35.36468473,88.43350015,77.2,3.22071992,3.565713716,8.599694413,6.589548632,0,0.785228718
Ecuador,ECU,31.46269089,36.702,2.175597851,5170,848.8260996,76.19256098,2.59,19.1,15737878,102.95394,101.62657,31.54148948,34.41308748,111.4620027,75.2,3.451303806,3.538436942,8.550627968,6.743854336,5.609161336,0.822242809
"Egypt, Arab Rep.",EGY,-61.81818182,56.975,2.622791315,2980,978.0366565,70.9072439,2.807,18.6,82056378,104.35408,107.40635,20.56742761,24.68820655,121.507893,98.8,3.023708641,3.206325662,7.999678579,6.88554715,-7.862453931,1.001657573
El Salvador,SLV,26.20689655,34.225,1.004884536,3600,690.3006629,72.10453659,2.209,13.5,6340454,95.06249,95.73744,27.98003371,46.6632093,136.1874402,81,3.331491174,3.842956045,8.188689124,6.537127246,5.119267189,0.099740838
Equatorial Guinea,GNQ,13.84946237,60.397,6.721220627,14040,,52.61290244,4.945,69.3,757014,52.63773,52.37111,90.95696368,69.38803073,67.47338887,,4.510386468,4.239714385,9.549665678,,3.72148658,1.920038433
Eritrea,ERI,6.03331277,78.235,0.089420969,450,128.9470899,62.23478049,4.785,36.1,6333135,33.22117,38.70249,14.37634524,23.15356945,5.602975462,,2.665584164,3.142148957,6.109247583,4.859402164,2.456280271,-1.663783392
Estonia,EST,-5.071770335,32.279,13.77319664,16360,4220.86062,76.42682927,1.55,2.7,1324612,95.33157,97.06292,90.51188969,86.82563647,159.6607033,97.6,4.50548122,4.463901929,9.70259461,8.347794325,-2.252059132,2.629958679
Ethiopia,ETH,28.20794742,81.41,0.07456497,410,381.0569954,62.96595122,4.642,44.4,94100756,,,16.99905282,32.13514155,27.25468539,42.1,2.833157626,3.469950184,6.01615716,5.942948958,5.311115459,-1.745458287
Faeroe Islands,FRO,0,58.47,14.3481979,,,82.03902439,,,49469,,,,,120.681639,,,,,,0,2.670569694
Fiji,FJI,-7.125616539,47.024,1.499936669,4010,,69.74473171,2.615,20,881065,,,59.33662668,64.91312261,101.1280666,92.2,4.083226766,4.173049801,8.29654652,,-2.669385049,0.469964047
Finland,FIN,-1.224359267,16.048,11.53084023,46820,6449.043775,80.62682927,1.8,2.1,5439407,98.33462,97.60923,40.9618319,41.68132497,171.7184915,100,3.712640704,3.730053186,10.75406574,8.771687147,-1.10650769,2.453660211
France,FRA,-10.40792461,20.945,5.556065562,41860,3869.188971,82.56585366,2.01,3.5,66028467,,,26.89530019,29.85867878,98.49547248,100,3.291951557,3.396475544,10.642086,8.260800196,-3.226131523,1.73272852
French Polynesia,PYF,-200,43.911,3.296763845,,,76.12902439,2.075,,276831,,,,,85.57567613,100,,,,,-14.14213562,1.222823168
Gabon,GAB,0,13.342,1.654156027,10020,1252.565504,63.07392683,4.136,39.1,1671711,,,58.17180006,30.68218916,214.7500375,63,4.063400702,3.423682328,9.212338375,7.13294913,0,0.561987845
"Gambia, The",GMB,-9.411764706,41.627,0.281465989,520,,58.60707317,5.775,49.4,1849285,74.75131,72.81956,28.86277909,47.15878136,99.9766937,84.4,3.362552844,3.853520235,6.253828812,,-3.067859955,-0.963733583
Georgia,GEO,1.504857863,46.691,1.401642562,3290,790.1787726,73.94487805,1.82,11.7,4476900,115.75885,115.74112,36.27917571,54.8635999,115.0251043,97.3,3.591243905,4.004850103,8.098642844,6.672259214,1.226726482,0.40655955
Germany,DEU,-3.118890234,25.11,9.114841508,45170,3811.472082,80.89268293,1.38,3.2,80621788,101.2166,100.99567,50.63144182,45.43392467,119.0306009,100,3.924572763,3.816259065,10.71818843,8.245770767,-1.766038005,2.220815392
Ghana,GHA,36.77228786,47.265,0.370887966,1580,425.0354925,60.94712195,3.92,52.3,25904598,,,44.11790766,49.69749048,108.1911482,81.3,3.786865769,3.905954439,7.365180126,6.052172677,6.06401582,-0.753135077
Greece,GRC,-20.13943619,22.657,7.774920307,23670,2402.427428,80.63414634,1.34,3.7,11032328,100.17796,100.3616,25.05493227,33.14548919,116.8206478,99.4,3.221070705,3.500906635,10.0719637,7.784234934,-4.487698318,2.063683065
Greenland,GRL,-10,14.367,11.14824708,,,,1.983,,56483,,,,,105.9890852,100,,,,,-3.16227766,2.420212301
Grenada,GRD,0,64.417,2.487241705,7140,,72.61034146,2.194,10.7,105897,103.21285,119.5547,23.65844919,50.35305704,125.5937373,95.3,3.163720311,3.919059333,8.873468055,,0,0.95059233
Guam,GUM,0,5.644,,,,78.61856098,2.426,,165124,,,,,,99.5,,,,,0,
Guatemala,GTM,25.34540859,49.339,0.775252594,3130,691.0848329,71.66385366,3.844,25.8,15468203,83.11532,88.61889,26.62542088,37.358778,140.393535,88.6,3.281866431,3.620567904,8.048788284,6.538262585,5.034422369,-0.133242755
Guinea,GIN,10.9030837,63.791,0.113624058,440,,55.84465854,5.001,64.9,11745189,47.99417,68.80615,30.25425227,48.12222138,63.31503903,65,3.409636745,3.873744053,6.086774727,,3.301981784,-1.543537549
Guinea-Bissau,GNB,9.657039711,52.253,0.150227779,530,,54.03363415,4.989,77.9,1704255,56.6878,71.27331,26.46980224,34.65903673,74.09102511,55.5,3.276004545,3.545558492,6.272877007,,3.107577788,-1.385383659
Guyana,GUY,0,71.618,2.164396038,3410,,66.04626829,2.591,29.9,799613,94.93671,86.94464,,,69.41295352,97.9,,,8.13446757,,0,0.817308074
Haiti,HTI,14.31034483,43.832,0.214171416,760,320.0409175,62.70265854,3.212,54.7,10317461,,,13.43650736,54.16636399,69.39885695,47.5,2.597975432,3.992060125,6.633318433,5.768448855,3.782901641,-1.157816532
Honduras,HND,39.13470993,46.463,1.063839388,2140,609.4876868,73.49343902,3.05,18.9,8097688,101.23557,95.25833,51.25765608,70.95917356,95.91916853,81.5,3.936864994,4.262104691,7.668561108,6.412618747,6.255774127,0.151724357
"Hong Kong SAR, China",HKG,,0,5.166229891,36280,2106.114599,83.4804878,1.285,,7187500,,,225.4538668,221.6037464,238.6824325,,5.418115556,5.400890861,10.4990219,7.652600107,,1.661314716
Hungary,HUN,-13.68128817,29.694,5.058248166,12450,2503.448701,75.06341463,1.34,5.2,9897247,97.97764,99.26141,93.99815852,86.50307115,116.4278724,100,4.543275192,4.460179918,9.429475902,7.82542454,-3.698822539,1.640597019
Iceland,ISL,-264.3678161,6.058,6.168528586,38370,17964.44357,82.91707317,2.04,1.6,323002,96.57407,98.8429,59.07356757,50.70309809,108.1111263,100,4.078783575,3.925987015,10.55503118,9.796149726,-16.25939163,1.835541652
India,IND,-7.483695397,68.006,1.666209247,1550,613.7188502,66.21085366,2.505,41.4,1252139596,,,23.86673003,30.21122109,70.78318167,90.7,3.17248544,3.408213415,7.34601021,6.419536925,-2.735634368,0.568835582
Indonesia,IDN,21.49647813,47.748,1.803206699,3420,857.2892162,70.6072439,2.37,24.5,249865631,,,26.36166164,24.94977381,121.5434067,76.4,3.271910744,3.216864756,8.13739583,6.753775337,4.636429459,0.6435402
"Iran, Islamic Rep.",IRN,0,27.68,7.676526948,6570,2812.692225,73.76273171,1.917,14.4,77447168,103.73768,104.96869,,,84.24610052,91.7,,,8.790269111,7.941897391,0,2.051109831
Iraq,IRQ,-2.611940299,30.738,3.703432682,6130,1266.370267,69.24192683,4.086,28,33417476,,,43.15656762,26.96591093,96.10477428,68.5,3.76483461,3.29457351,8.720950029,7.14391003,-1.616149838,1.335903996
Ireland,IRL,-62.70967742,37.333,8.771551844,39110,2887.670277,80.89512195,2.01,3.2,4595281,,,102.6841531,81.08229571,102.755635,99.7,4.631657802,4.395464635,10.57413347,7.968205324,-7.918944211,2.182849735
Isle of Man,IMN,0,47.916,,,,,,,85888,,,,,,,,,,,0,
Israel,ISR,-16.36363636,7.988,9.268030327,32030,2994.447835,81.70487805,3.04,3.2,8059400,102.19282,101.03173,35.50179933,35.99871476,122.8478352,100,3.56958338,3.583483237,10.37442824,8.004515131,-4.045199175,2.237302864
Italy,ITA,-22.59552042,31.314,6.854334881,34810,2819.419443,82.93658537,1.4,3,59831093,102.00774,102.39751,28.83447156,30.23229111,158.8835332,100,3.3615716,3.408910595,10.45765998,7.944286271,-4.753474563,1.939365189
Jamaica,JAM,2.42019733,45.664,2.66014574,5190,1135.485907,73.2824878,2.284,14.3,2715000,,,30.39154163,53.49356249,100.4233288,88.8,3.414164334,3.979561319,8.554488976,7.03481595,1.555698342,1.015283483
Japan,JPN,-0.186773547,7.509,9.185650865,47690,3610.371413,83.09609756,1.41,2.1,127338621,100.74158,100.46675,15.1275549,16.0343875,115.1885934,100,2.716517908,2.774735635,10.77247701,8.191565931,-0.432173052,2.228470291
Jordan,JOR,0,16.789,3.443801852,4660,1142.90309,73.74739024,3.314,16,6459000,,,47.65502402,73.85915827,141.7962745,90.5,3.86398806,4.302160013,8.446770727,7.041326875,0,1.26520012
Kazakhstan,KAZ,3.629456458,46.639,15.23926775,9780,4717.224068,69.61,2.59,14.6,17037508,102.80354,103.32782,49.47496416,27.74896453,180.5020819,86,3.901466767,3.323198525,9.188094763,8.458975784,1.90511324,2.73041606
Kenya,KEN,7.092772384,75.22,0.303781663,870,480.1320866,61.08317073,4.459,47.5,44353691,,,28.52347187,45.09104835,70.58942851,55.1,3.350727323,3.808683742,6.768493212,6.174061246,2.663225936,-0.906880984
Kiribati,KIR,0,55.945,0.637784803,2520,,68.53234146,2.982,45.1,102351,,,12.37787545,95.20958084,16.60951041,50.6,2.515910641,4.556080576,7.832014181,,0,-0.304103092
"Korea, Dem. Rep.",PRK,33.99829289,39.431,2.923360157,,772.8927404,69.50063415,1.995,21.7,24895480,,,,,9.720640052,96.9,,,,6.650140281,5.83080551,1.106368848
"Korea, Rep.",KOR,2.530612245,17.751,11.4868054,24640,5231.870728,81.36829268,1.297,3.2,50219669,99.34158,100.65972,55.74747445,54.25257807,110.9984678,87.9,4.020832108,3.993650513,10.11212642,8.562524185,1.590789818,2.449866985
Kosovo,KSV,,,,3730,1411.282348,70.49756098,2.19,,1824000,,,19.77822985,57.3756688,,,2.98458183,4.049620325,8.224163513,7.252254037,,
Kuwait,KWT,-86.57142857,1.69,31.31974308,,10408.2795,74.359,2.626,8.1,3368572,,,70.22539088,24.84037633,190.2883477,99,4.251709939,3.212470407,,9.250356874,-9.30437685,3.447436456
Kyrgyz Republic,KGZ,-18.13397129,64.517,1.174565429,1040,561.648533,70.00243902,3.1,21.6,5719500,96.6375,96.47864,54.53847717,81.64136325,121.4498189,82.3,3.998906456,4.402336036,6.946975992,6.330876268,-4.258400086,0.24260528
